Country,Year,Deaths,CG_VOTO,EQ_AIRP,EQ_WATER,ES_EDUA,ES_EDUEX,ES_STCS,HO_BASE,HO_HISH,HO_NUMR,HS_LEB,HS_SFRH,IW_HADI,IW_HNFW,JE_EMPL,JE_LTUR,JE_PEARN,PS_REPH,SC_SNTWS,SW_LIFS,WL_EWLH,WL_TNOW
Australia,2013,658.103781725,93.0,14.0,91.0,73.33333333333333,18.5,519.2,1.2,19.0,2.3,81.96666666666665,84.25,32538.666666666668,32178.0,72.4,1.0114615493999999,42156.0,1.0333333333333334,90.75,7.233333333333334,13.82,14.403333333333334
Australia,2014,664.537658097,93.0,13.0,91.0,74.33333333333333,18.7,513.6,1.1,20.0,2.3,81.96666666666665,84.33333333333333,35144.666666666664,38482.0,71.8,1.1209722000000002,44993.2,0.8333333333333334,93.0,7.25,13.903333333333334,14.403333333333334
Australia,2015,675.6513523890001,93.0,13.0,91.0,76.33333333333333,19.3,512.6,1.1,20.0,2.3,82.10000000000001,84.66666666666667,35250.666666666664,47657.0,70.8,1.1301034552,48134.4,0.8333333333333334,92.5,7.3,13.729999999999999,14.403333333333334
Brazil,2013,587.344164154,79.5,19.0,78.5,41.0,16.266666666666666,404.8,6.7,21.0,1.4,73.53333333333333,70.0,13623.0,5861.0,70.4,2.6873228188000002,10400.2,21.266666666666666,89.0,6.675,12.25,14.813333333333333
Brazil,2014,594.874998435,79.5,18.0,71.0,43.333333333333336,16.3,406.2,6.7,21.0,1.4,73.5,70.0,13620.666666666666,6875.0,69.0,2.0749248,7448.6,26.0,90.2,7.15,10.54,14.946666666666667
Brazil,2015,604.8917213999999,80.0,18.0,72.33333333333333,44.666666666666664,16.3,404.0,6.7,21.0,1.6,73.7,70.0,15480.666666666666,6844.0,69.2,1.7891739306,16156.2,26.0,88.66666666666667,6.85,10.223333333333333,14.946666666666667
Germany,2013,1096.43830868,70.4,16.0,94.8,85.66666666666667,17.866666666666664,509.4,0.9,21.0,1.8,80.8,64.2,31773.666666666668,44938.0,70.4,3.1646101803999995,38195.6,0.8500000000000001,93.0,6.7,5.326666666666667,15.335
Germany,2014,1089.52415191,71.0,16.0,95.0,86.33333333333333,18.066666666666666,515.8,0.9,21.0,1.8,80.8,64.6,33894.0,49484.0,70.6,2.8672182000000004,40526.2,0.55,91.5,6.9399999999999995,5.510000000000001,15.335
Germany,2015,1103.74469328,71.0,16.0,95.0,86.33333333333333,18.2,516.4,0.1,21.0,1.8,80.96666666666665,64.8,34757.333333333336,50394.0,70.6,2.7334782358000003,42405.6,0.5,93.5,6.975,5.173333333333333,15.335
Japan,2013,1021.03200309,69.0,25.0,85.5,92.0,18.733333333333334,529.6,6.4,22.0,1.8,82.66666666666667,30.0,26755.333333333332,74966.0,69.2,1.8027874414,33758.0,0.4,89.66666666666667,6.0200000000000005,30.323333333333334,13.896666666666667
Japan,2014,1030.93059267,59.5,24.0,85.5,93.0,16.2,539.3333333333334,6.4,22.0,1.8,82.66666666666667,30.0,27773.666666666668,85309.0,72.4,1.6354604,34618.0,0.3,89.66666666666667,6.0200000000000005,21.87666666666667,14.93
Japan,2015,1049.83007312,52.5,24.0,84.5,93.5,15.866666666666667,540.25,6.4,22.0,1.8,83.16666666666667,30.0,28931.0,86764.0,71.25,1.6591281081999998,34009.0,0.3,87.25,5.92,21.546666666666667,14.93
Mexico,2013,505.07708826,63.0,33.0,78.25,36.333333333333336,14.866666666666667,421.4,4.2,18.0,1.0,74.2,66.4,16019.333333333334,9946.0,61.8,0.10373025149999998,9415.0,24.333333333333332,77.25,7.3,27.11,12.616666666666665
Mexico,2014,510.44474602900004,63.0,30.0,69.5,36.333333333333336,15.199999999999998,418.8,4.2,21.0,1.0,74.36666666666667,66.4,16168.0,10449.0,63.0,0.09707924999999999,13901.4,24.099999999999998,74.0,7.475,27.350000000000005,13.866666666666667
Mexico,2015,509.733904947,63.0,30.0,67.0,37.333333333333336,14.350000000000001,419.25,4.2,21.0,1.0,74.56666666666668,66.8,16747.666666666668,9056.0,62.8,0.08169135525000001,15236.0,24.233333333333334,77.25,6.779999999999999,27.463333333333335,13.866666666666667
Poland,2013,1004.19588409,55.4,34.0,78.4,88.5,18.233333333333334,503.6,4.0,24.0,1.0,76.86666666666666,58.0,17007.0,9222.0,57.2,3.3240813486,19317.4,1.1333333333333333,91.2,5.98,7.043333333333334,14.133333333333333
Poland,2014,988.7778267210001,55.4,33.0,79.2,89.0,18.333333333333332,522.2,3.5,23.0,1.0,76.86666666666666,59.0,17980.666666666668,10406.0,57.2,3.8980075999999997,20465.4,1.0333333333333334,91.0,5.880000000000001,7.359999999999999,14.133333333333333
Poland,2015,998.8326734880001,55.4,33.0,79.0,90.0,18.366666666666664,522.6,3.2,21.0,1.1,76.9,59.6,19735.333333333332,10919.0,56.8,4.2495279722,21651.0,0.9333333333333332,90.75,5.75,7.213333333333334,14.133333333333333
United States,2013,820.8957308859999,69.2,18.0,88.0,89.0,17.133333333333336,499.0,0.0,19.0,2.3,78.7,87.25,43700.333333333336,115918.0,63.0,3.1997441066,51377.2,4.8,90.0,6.92,11.040000000000001,14.26
United States,2014,832.850321085,65.6,18.0,88.0,89.0,17.133333333333336,495.8,0.1,19.0,2.3,78.7,87.25,45460.333333333336,132822.0,63.0,2.7520194,51154.2,5.166666666666667,90.0,6.92,11.346666666666666,14.26
United States,2015,846.52124645,66.8,18.0,85.0,89.0,17.23333333333333,494.6,0.1,18.0,2.4,78.7,86.5,48062.333333333336,145769.0,63.2,2.2722848323999996,53113.6,5.166666666666667,92.66666666666667,7.266666666666667,11.206666666666669,14.26
